mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8724497795104981,0.00407228125405918,0.007531976699829102,0.000891888929301811,relu,20,"(3,)",0.0001,50,10,adam,"{'activation': 'relu', 'batch_size': 20, 'hidden_layer_sizes': (3,), 'learning_rate_init': 0.0001, 'max_iter': 50, 'n_iter_no_change': 10, 'solver': 'adam'}",0.17576882045973116,0.18461895247609533,0.21011602139553062,0.37723322287190475,0.2604001087479348,0.24162742519023933,0.07392108814161212,14384
0.876314115524292,0.005830642743295306,0.007937288284301758,0.0018112316187339557,relu,20,"(3,)",0.0001,50,20,adam,"{'activation': 'relu', 'batch_size': 20, 'hidden_layer_sizes': (3,), 'learning_rate_init': 0.0001, 'max_iter': 50, 'n_iter_no_change': 20, 'solver': 'adam'}",0.14329988818036205,0.09215896885069817,0.10742115027829313,0.0847926267281106,0.22900114818362785,0.13133475644421838,0.05282927443151506,16208
0.8702316284179688,0.014244931552423222,0.006373405456542969,0.0015218172404810903,relu,20,"(3,)",0.0001,50,30,adam,"{'activation': 'relu', 'batch_size': 20, 'hidden_layer_sizes': (3,), 'learning_rate_init': 0.0001, 'max_iter': 50, 'n_iter_no_change': 30, 'solver': 'adam'}",0.26807182305908805,0.06833676866973204,0.30691670639784563,0.23173650533019846,0.12283572359843549,0.19957950541105995,0.08984521014559729,14975
0.8746082782745361,0.008443933148501451,0.006446027755737304,0.001639667298028212,relu,20,"(3,)",0.0001,50,50,adam,"{'activation': 'relu', 'batch_size': 20, 'hidden_layer_sizes': (3,), 'learning_rate_init': 0.0001, 'max_iter': 50, 'n_iter_no_change': 50, 'solver': 'adam'}",0.23947573734465694,0.19341354808902486,0.18580346569844686,0.43001632683287666,0.08426779313876089,0.22659537422075324,0.11363814627034968,14556
1.742505931854248,0.011710302108599866,0.005967235565185547,0.0001029599088275267,relu,20,"(3,)",0.0001,100,10,adam,"{'activation': 'relu', 'batch_size': 20, 'hidden_layer_sizes': (3,), 'learning_rate_init': 0.0001, 'max_iter': 100, 'n_iter_no_change': 10, 'solver': 'adam'}",0.4278226714196101,0.3488703363327958,0.4291905102456203,0.26284585807229627,0.40724379792834836,0.3751946347997342,0.06328922496413324,12892
1.7328670978546143,0.007075630569370283,0.0066678524017333984,0.0015585147185021423,relu,20,"(3,)",0.0001,100,20,adam,"{'activation': 'relu', 'batch_size': 20, 'hidden_layer_sizes': (3,), 'learning_rate_init': 0.0001, 'max_iter': 100, 'n_iter_no_change': 20, 'solver': 'adam'}",0.3338555215573784,0.49820595584031047,0.4736805264181116,0.30435352223061723,0.413135831434861,0.40464627149625576,0.07571153326580436,12587
1.726867151260376,0.017425126192222758,0.00677490234375,0.0009254574308121063,relu,20,"(3,)",0.0001,100,30,adam,"{'activation': 'relu', 'batch_size': 20, 'hidden_layer_sizes': (3,), 'learning_rate_init': 0.0001, 'max_iter': 100, 'n_iter_no_change': 30, 'solver': 'adam'}",0.2239048905761399,0.4172957307038545,0.44078935283694215,0.45904412088736024,0.34557151490500176,0.3773211219818597,0.08584801899721076,12861
1.7253968238830566,0.015070050828872267,0.007118988037109375,0.001558063231994221,relu,20,"(3,)",0.0001,100,50,adam,"{'activation': 'relu', 'batch_size': 20, 'hidden_layer_sizes': (3,), 'learning_rate_init': 0.0001, 'max_iter': 100, 'n_iter_no_change': 50, 'solver': 'adam'}",0.43575971444377654,0.32266501641979106,0.2894320446695126,0.33506920316581323,0.377907455079289,0.3521666867556365,0.05049492894805447,13122
3.443563222885132,0.013636751307851996,0.006021547317504883,0.0012705518451207156,relu,20,"(3,)",0.0001,200,10,adam,"{'activation': 'relu', 'batch_size': 20, 'hidden_layer_sizes': (3,), 'learning_rate_init': 0.0001, 'max_iter': 200, 'n_iter_no_change': 10, 'solver': 'adam'}",0.47547733919723906,0.6160833919136423,0.5464005946270077,0.5334025085330337,0.6141485010614025,0.557102467066465,0.05305069103837235,10885
3.486332321166992,0.024409631067854175,0.007424306869506836,0.0018294592043061801,relu,20,"(3,)",0.0001,200,20,adam,"{'activation': 'relu', 'batch_size': 20, 'hidden_layer_sizes': (3,), 'learning_rate_init': 0.0001, 'max_iter': 200, 'n_iter_no_change': 20, 'solver': 'adam'}",0.5076405643125167,0.6433152670038309,0.6645211356505694,0.3997907528787511,0.586787821201355,0.5604111082094045,0.09694468236802886,10855
