mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_batch_size,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_momentum,param_n_iter_no_change,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.1810655117034914,0.26095571197855044,0.009438371658325196,0.0048188880025543815,relu,32,"(3,)",adaptive,0.0001,100,0.9,20,sgd,"{'activation': 'relu', 'batch_size': 32, 'hidden_layer_sizes': (3,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'max_iter': 100, 'momentum': 0.9, 'n_iter_no_change': 20, 'solver': 'sgd'}",0.08407364599415625,0.22097609586722414,0.1566251724318084,0.20462180352202117,0.21473753961120387,0.17620685148528276,0.05131915505512645,10823
1.7356213092803956,0.07629986520086246,0.00792241096496582,0.0013552704515697545,relu,32,"(3,)",adaptive,0.0001,100,0.9,50,sgd,"{'activation': 'relu', 'batch_size': 32, 'hidden_layer_sizes': (3,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'max_iter': 100, 'momentum': 0.9, 'n_iter_no_change': 50, 'solver': 'sgd'}",0.033655567490153956,0.22576027201348767,0.32524904480086264,0.16478042409355576,0.18413500459708204,0.18671606259902843,0.09447876661616601,10583
3.4048375129699706,0.1747439352893122,0.00825958251953125,0.0013715383352249139,relu,32,"(3,)",adaptive,0.0001,200,0.8,10,sgd,"{'activation': 'relu', 'batch_size': 32, 'hidden_layer_sizes': (3,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'max_iter': 200, 'momentum': 0.8, 'n_iter_no_change': 10, 'solver': 'sgd'}",0.1110356890086073,0.1878481429409635,0.15806247557571038,0.15370163504445683,0.08114236685665256,0.1383580618852781,0.037664585743888375,11833
3.252044200897217,0.17646126689939792,0.008216476440429688,0.0017815318007768468,relu,32,"(3,)",adaptive,0.0001,200,0.8,20,sgd,"{'activation': 'relu', 'batch_size': 32, 'hidden_layer_sizes': (3,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'max_iter': 200, 'momentum': 0.8, 'n_iter_no_change': 20, 'solver': 'sgd'}",0.1763335875642602,0.262549699118848,0.10975716370434631,0.2695998802658211,0.29118830064278317,0.22188572625921177,0.0683825385281807,9877
3.337962245941162,0.14444806784393285,0.008291196823120118,0.0011885071938695006,relu,32,"(3,)",adaptive,0.0001,200,0.8,50,sgd,"{'activation': 'relu', 'batch_size': 32, 'hidden_layer_sizes': (3,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'max_iter': 200, 'momentum': 0.8, 'n_iter_no_change': 50, 'solver': 'sgd'}",0.15155064949956593,0.1396898609809337,0.195302719759412,0.28420473797297324,0.21713186025971448,0.19757596569451988,0.0516938597815183,10362
3.285794734954834,0.16904221865654753,0.008306550979614257,0.001706800740809467,relu,32,"(3,)",adaptive,0.0001,200,0.9,10,sgd,"{'activation': 'relu', 'batch_size': 32, 'hidden_layer_sizes': (3,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'max_iter': 200, 'momentum': 0.9, 'n_iter_no_change': 10, 'solver': 'sgd'}",0.11902219561185672,0.2768915944622531,0.22270483842600558,0.2827494320944913,0.29807752115158553,0.23988911634923843,0.06556857851441975,9594
3.3923812389373778,0.11928329899348313,0.00840764045715332,0.0004919002156634329,relu,32,"(3,)",adaptive,0.0001,200,0.9,20,sgd,"{'activation': 'relu', 'batch_size': 32, 'hidden_layer_sizes': (3,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'max_iter': 200, 'momentum': 0.9, 'n_iter_no_change': 20, 'solver': 'sgd'}",0.1776151779495174,0.2640504983400632,0.28568598917883,0.2526636431327422,0.2054974255345869,0.237102546827148,0.03966439569088229,9627
3.4000789165496825,0.14606842232517606,0.008321857452392578,0.0011704931406007868,relu,32,"(3,)",adaptive,0.0001,200,0.9,50,sgd,"{'activation': 'relu', 'batch_size': 32, 'hidden_layer_sizes': (3,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'max_iter': 200, 'momentum': 0.9, 'n_iter_no_change': 50, 'solver': 'sgd'}",0.3366113089597915,0.41441573945720006,0.1879420992432413,0.2718820405017029,0.17573424767809312,0.2773170871680058,0.09016467897692192,9065
5.563639307022095,0.2779643135059476,0.010584354400634766,0.0030134191821816624,relu,32,"(3,)",adaptive,0.0001,300,0.8,10,sgd,"{'activation': 'relu', 'batch_size': 32, 'hidden_layer_sizes': (3,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'max_iter': 300, 'momentum': 0.8, 'n_iter_no_change': 10, 'solver': 'sgd'}",0.23194400558452857,0.23318642602967787,0.18440932640489627,0.22841576879457576,0.35785399131010864,0.24716190362475743,0.058256227460625774,9481
5.49322361946106,0.26110197721987893,0.008384943008422852,0.0006263412263808291,relu,32,"(3,)",adaptive,0.0001,300,0.8,20,sgd,"{'activation': 'relu', 'batch_size': 32, 'hidden_layer_sizes': (3,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'max_iter': 300, 'momentum': 0.8, 'n_iter_no_change': 20, 'solver': 'sgd'}",0.34738505023738797,0.09336244395182229,0.3780580232092837,0.20295738824047072,0.21768894680641507,0.24789037048907597,0.10358840483280328,9471
