number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size_0,params_batch_size_1,params_batch_size_2,params_batch_size_3,params_batch_size_4,params_h1,params_h2,params_iter_no_change,params_learning_rate_init,params_max_iter,params_num_hidden_layers,params_preset_idx,state
139,0.8953752771343648,2025-11-29 23:54:19.256722,2025-11-29 23:54:23.226411,0 days 00:00:03.969689,logistic,,,,20.0,,5,10.0,40,0.0019686392866713172,439,2,3,PRUNED
140,0.9366790960287817,2025-11-29 23:54:23.227189,2025-11-29 23:54:29.662250,0 days 00:00:06.435061,logistic,,,,10.0,,4,11.0,42,0.001720247212292856,472,2,3,PRUNED
141,0.9528754667928322,2025-11-29 23:54:29.663067,2025-11-29 23:54:47.528057,0 days 00:00:17.864990,logistic,,,,40.0,,5,11.0,43,0.002122890279428749,459,2,3,COMPLETE
142,0.9549323377714947,2025-11-29 23:54:47.529020,2025-11-29 23:55:29.429963,0 days 00:00:41.900943,logistic,,,,10.0,,5,11.0,43,0.0021103592791120755,481,2,3,COMPLETE
143,0.9513767340852137,2025-11-29 23:55:29.433006,2025-11-29 23:55:47.408042,0 days 00:00:17.975036,logistic,,,,40.0,,5,11.0,43,0.0020927774920991766,479,2,3,COMPLETE
144,0.9494610313940841,2025-11-29 23:55:47.409299,2025-11-29 23:55:50.373126,0 days 00:00:02.963827,logistic,,,,40.0,,5,11.0,43,0.00238041319481928,484,2,3,PRUNED
145,0.8856984849086843,2025-11-29 23:55:50.373960,2025-11-29 23:55:52.882848,0 days 00:00:02.508888,logistic,,,,40.0,,6,11.0,41,0.0021260287576435936,474,2,3,PRUNED
146,0.9510869579777427,2025-11-29 23:55:52.883854,2025-11-29 23:55:59.918637,0 days 00:00:07.034783,logistic,,,,10.0,,5,11.0,45,0.002465993961409692,429,2,3,PRUNED
147,0.9100401103441148,2025-11-29 23:55:59.919494,2025-11-29 23:56:06.836603,0 days 00:00:06.917109,logistic,,,,10.0,,5,10.0,40,0.0013992025372582839,487,2,3,PRUNED
148,0.9264686325246814,2025-11-29 23:56:06.837613,2025-11-29 23:56:16.129283,0 days 00:00:09.291670,logistic,,,,10.0,,5,11.0,48,0.0015534196753315818,489,2,3,PRUNED
149,0.9489093127427545,2025-11-29 23:56:16.130230,2025-11-29 23:56:37.393196,0 days 00:00:21.262966,logistic,,,,20.0,,5,11.0,24,0.0018970659406545715,444,2,3,COMPLETE
150,0.9327787735509837,2025-11-29 23:56:37.394178,2025-11-29 23:56:39.694674,0 days 00:00:02.300496,logistic,,,,40.0,,5,11.0,38,0.0020000488651625713,470,2,3,PRUNED
151,0.9589252636612402,2025-11-29 23:56:39.695526,2025-11-29 23:57:21.159617,0 days 00:00:41.464091,logistic,,,,10.0,,5,11.0,36,0.0017945917860360402,456,2,3,COMPLETE
152,0.9598875004656817,2025-11-29 23:57:21.160957,2025-11-29 23:58:04.236198,0 days 00:00:43.075241,logistic,,,,10.0,,5,11.0,35,0.0017710331483737135,453,2,3,COMPLETE
153,0.9605425454162548,2025-11-29 23:58:04.237278,2025-11-29 23:58:46.068314,0 days 00:00:41.831036,logistic,,,,10.0,,5,11.0,35,0.0017501240625469978,449,2,3,COMPLETE
154,0.9490355441419275,2025-11-29 23:58:46.069574,2025-11-29 23:58:54.694468,0 days 00:00:08.624894,logistic,,,,10.0,,5,11.0,35,0.0017309064541094238,448,2,3,PRUNED
155,0.9418532751388974,2025-11-29 23:58:54.695479,2025-11-29 23:59:06.522303,0 days 00:00:11.826824,logistic,,,,10.0,,6,11.0,36,0.0016670680206073928,435,2,3,PRUNED
156,0.8965987970921792,2025-11-29 23:59:06.523179,2025-11-29 23:59:15.344139,0 days 00:00:08.820960,logistic,,,,10.0,,4,10.0,35,0.0011323630243035125,455,2,3,PRUNED
157,0.9588502593533178,2025-11-29 23:59:15.344992,2025-11-30 00:00:02.866733,0 days 00:00:47.521741,logistic,,,,10.0,,5,11.0,37,0.001791296567625123,477,2,3,COMPLETE
158,0.936338722596515,2025-11-30 00:00:02.867675,2025-11-30 00:00:04.739207,0 days 00:00:01.871532,logistic,,128.0,,,,5,11.0,51,0.0022707591533709893,423,2,1,PRUNED
159,0.9589252636612402,2025-11-30 00:00:04.740109,2025-11-30 00:00:47.461231,0 days 00:00:42.721122,logistic,,,,10.0,,5,11.0,38,0.0017928098650293407,466,2,3,COMPLETE
160,0.8701619069841395,2025-11-30 00:00:47.462414,2025-11-30 00:00:49.303112,0 days 00:00:01.840698,logistic,,,,,50.0,6,11.0,38,0.002205330338428009,503,2,4,PRUNED
161,0.9387622883840259,2025-11-30 00:00:49.303951,2025-11-30 00:00:58.083913,0 days 00:00:08.779962,logistic,,,,10.0,,5,11.0,34,0.0015618976274329698,466,2,3,PRUNED
162,0.9559945022306889,2025-11-30 00:00:58.084782,2025-11-30 00:01:39.734981,0 days 00:00:41.650199,logistic,,,,10.0,,5,11.0,39,0.001843210809076097,478,2,3,COMPLETE
163,0.9460199657856455,2025-11-30 00:01:39.735909,2025-11-30 00:01:46.700572,0 days 00:00:06.964663,logistic,,,,10.0,,5,9.0,39,0.0017552453075784357,476,2,3,PRUNED
164,0.9578853808319607,2025-11-30 00:01:46.701601,2025-11-30 00:02:26.126538,0 days 00:00:39.424937,logistic,,,,10.0,,5,11.0,37,0.0017984576969598935,450,2,3,COMPLETE
165,0.9105737033055025,2025-11-30 00:02:26.127635,2025-11-30 00:02:31.177968,0 days 00:00:05.050333,logistic,,,,10.0,,5,10.0,37,0.0018788955913544945,444,2,3,PRUNED
166,0.9415757536577746,2025-11-30 00:02:31.178805,2025-11-30 00:02:40.935271,0 days 00:00:09.756466,logistic,,,,10.0,,5,11.0,36,0.0014315336880076752,453,2,3,PRUNED
167,0.9589252636612402,2025-11-30 00:02:40.936146,2025-11-30 00:03:24.168855,0 days 00:00:43.232709,logistic,,,,10.0,,5,11.0,38,0.00179492003445532,464,2,3,COMPLETE
168,0.9412683599351245,2025-11-30 00:03:24.169769,2025-11-30 00:03:33.213612,0 days 00:00:09.043843,logistic,,,,10.0,,5,11.0,38,0.001610265839776727,462,2,3,PRUNED
169,0.9341665805242203,2025-11-30 00:03:33.214466,2025-11-30 00:03:38.768083,0 days 00:00:05.553617,logistic,,,,10.0,,4,11.0,40,0.0017675893185202232,439,2,3,PRUNED
170,0.8247734424116657,2025-11-30 00:03:38.768993,2025-11-30 00:03:39.863010,0 days 00:00:01.094017,logistic,,,,10.0,,5,11.0,6,0.001890410096360849,450,2,3,PRUNED
171,0.9588502593533178,2025-11-30 00:03:39.863922,2025-11-30 00:04:26.397504,0 days 00:00:46.533582,logistic,,,,10.0,,5,11.0,35,0.001789173335346627,468,2,3,COMPLETE
172,0.9568727688800355,2025-11-30 00:04:26.398518,2025-11-30 00:05:15.000178,0 days 00:00:48.601660,logistic,,,,10.0,,5,11.0,39,0.0016760234439517638,468,2,3,COMPLETE
173,0.9264686325246814,2025-11-30 00:05:15.001337,2025-11-30 00:05:23.730841,0 days 00:00:08.729504,logistic,,,,10.0,,5,11.0,39,0.0015535252464732921,468,2,3,PRUNED
174,0.946198708136886,2025-11-30 00:05:23.731643,2025-11-30 00:05:30.741111,0 days 00:00:07.009468,tanh,,,,10.0,,5,11.0,35,0.0016513517737377836,473,2,3,PRUNED
175,0.9367057019086619,2025-11-30 00:05:30.742019,2025-11-30 00:05:39.961934,0 days 00:00:09.219915,logistic,,,,10.0,,5,11.0,37,0.0013194753221724247,464,2,3,PRUNED
176,0.9415757536577746,2025-11-30 00:05:39.962791,2025-11-30 00:05:49.307301,0 days 00:00:09.344510,logistic,,,,10.0,,5,11.0,33,0.0014771226695852507,460,2,3,PRUNED
177,0.9588502593533178,2025-11-30 00:05:49.308188,2025-11-30 00:06:38.129471,0 days 00:00:48.821283,logistic,,,,10.0,,5,11.0,38,0.001790546213565923,477,2,3,COMPLETE
178,0.9390612268674428,2025-11-30 00:06:38.130510,2025-11-30 00:06:45.142684,0 days 00:00:07.012174,logistic,,,,10.0,,6,10.0,37,0.0017572624739729567,476,2,3,PRUNED
179,0.9578965570480159,2025-11-30 00:06:45.143644,2025-11-30 00:07:26.133312,0 days 00:00:40.989668,logistic,,,,10.0,,5,11.0,38,0.0018286932985293071,490,2,3,COMPLETE
180,0.9563955471995422,2025-11-30 00:07:26.135639,2025-11-30 00:08:07.633274,0 days 00:00:41.497635,logistic,,,,10.0,,5,11.0,38,0.0018249420850385838,468,2,3,COMPLETE
181,0.9559945022306889,2025-11-30 00:08:07.634182,2025-11-30 00:08:49.681501,0 days 00:00:42.047319,logistic,,,,10.0,,5,11.0,39,0.0018441315288387262,470,2,3,COMPLETE
182,0.9559945022306889,2025-11-30 00:08:49.682433,2025-11-30 00:09:30.865152,0 days 00:00:41.182719,logistic,,,,10.0,,5,11.0,38,0.0018392956895015445,467,2,3,COMPLETE
183,0.9605425454162548,2025-11-30 00:09:30.866094,2025-11-30 00:10:12.755446,0 days 00:00:41.889352,logistic,,,,10.0,,5,11.0,39,0.0017473699346809751,473,2,3,COMPLETE
184,0.9490355441419275,2025-11-30 00:10:12.756650,2025-11-30 00:10:22.848632,0 days 00:00:10.091982,logistic,,,,10.0,,5,11.0,40,0.0017399051742108082,477,2,3,PRUNED
185,0.9390296168376834,2025-11-30 00:10:22.849506,2025-11-30 00:10:32.607791,0 days 00:00:09.758285,logistic,,,,10.0,,5,11.0,38,0.0015154544877119317,449,2,3,PRUNED
186,0.9550110926577394,2025-11-30 00:10:32.608615,2025-11-30 00:11:11.240605,0 days 00:00:38.631990,logistic,,,,10.0,,5,11.0,36,0.001912647003791737,479,2,3,COMPLETE
187,0.957435010267188,2025-11-30 00:11:11.242600,2025-11-30 00:11:58.653467,0 days 00:00:47.410867,logistic,,,,10.0,,5,11.0,37,0.0016892810259804601,456,2,3,COMPLETE
188,0.9159960739059452,2025-11-30 00:11:58.654355,2025-11-30 00:12:05.425908,0 days 00:00:06.771553,logistic,,,,10.0,,5,10.0,35,0.0016822079900588194,452,2,3,PRUNED
189,0.8905108427795191,2025-11-30 00:12:05.426841,2025-11-30 00:12:06.496994,0 days 00:00:01.070153,logistic,,128.0,,,,4,11.0,33,0.0022100119061102676,443,2,1,PRUNED
190,0.9364733773486146,2025-11-30 00:12:06.497825,2025-11-30 00:12:14.742742,0 days 00:00:08.244917,logistic,,,,10.0,,5,11.0,37,0.0015809555262316032,435,2,3,PRUNED
191,0.9588502593533178,2025-11-30 00:12:14.743760,2025-11-30 00:13:01.817925,0 days 00:00:47.074165,logistic,,,,10.0,,5,11.0,39,0.001790223019331609,463,2,3,COMPLETE
192,0.9599627762732199,2025-11-30 00:13:01.819047,2025-11-30 00:13:48.709469,0 days 00:00:46.890422,logistic,,,,10.0,,5,11.0,38,0.0017091884691123453,460,2,3,COMPLETE
193,0.9584168665481652,2025-11-30 00:13:48.710336,2025-11-30 00:14:34.240718,0 days 00:00:45.530382,logistic,,,,10.0,,5,11.0,38,0.0016956735334824019,457,2,3,COMPLETE
194,0.9415757536577746,2025-11-30 00:14:34.241758,2025-11-30 00:14:43.904534,0 days 00:00:09.662776,logistic,,,,10.0,,5,11.0,38,0.0014204225439132653,455,2,3,PRUNED
195,0.9584168665481652,2025-11-30 00:14:43.905469,2025-11-30 00:15:29.719193,0 days 00:00:45.813724,logistic,,,,10.0,,5,11.0,37,0.0016970675775210412,464,2,3,COMPLETE
196,0.9305360014712969,2025-11-30 00:15:29.722069,2025-11-30 00:15:32.588011,0 days 00:00:02.865942,logistic,,,,,50.0,5,11.0,34,0.002156850087713779,445,2,4,PRUNED
197,0.956375409870956,2025-11-30 00:15:32.588890,2025-11-30 00:16:25.770811,0 days 00:00:53.181921,logistic,,,,10.0,,5,11.0,37,0.00167915149855828,460,2,3,COMPLETE
198,0.9447641063364464,2025-11-30 00:16:25.771771,2025-11-30 00:16:30.698577,0 days 00:00:04.926806,tanh,,,,20.0,,5,11.0,40,0.0015220646907599421,455,2,3,PRUNED
199,0.9589219819178055,2025-11-30 00:16:30.699418,2025-11-30 00:17:16.790820,0 days 00:00:46.091402,logistic,,,,10.0,,5,11.0,36,0.0017043406661241907,463,2,3,COMPLETE
